,Weekday - Level 2 - Diversified (Median) of 100 EVs
1266,2.1344000000000016
1267,2.0608000000000017
1268,2.0608000000000017
1269,2.0976000000000017
1270,2.1344000000000016
1271,2.0976000000000017
1272,2.1344000000000016
1273,2.1344000000000016
1274,2.1344000000000016
1275,2.1344000000000016
1276,2.1712000000000016
1277,2.1712000000000016
1278,2.208000000000002
1279,2.208000000000002
1280,2.1344000000000016
1281,2.1344000000000016
1282,2.1344000000000016
1283,2.1344000000000016
1284,2.1344000000000016
1285,2.208000000000002
1286,2.1344000000000016
1287,2.1344000000000016
1288,2.1344000000000016
1289,2.1712000000000016
1290,2.1344000000000016
1291,2.1712000000000016
1292,2.1344000000000016
1293,2.1344000000000016
1294,2.1344000000000016
1295,2.1344000000000016
1296,2.0976000000000017
1297,2.0608000000000017
1298,2.1344000000000016
1299,2.1344000000000016
1300,2.0608000000000017
1301,2.0608000000000017
1302,2.0608000000000017
1303,2.0608000000000017
1304,2.0608000000000017
1305,2.0608000000000017
1306,2.024000000000002
1307,2.0608000000000017
1308,2.0608000000000017
1309,2.0608000000000017
1310,2.0608000000000017
1311,2.0608000000000017
1312,2.0608000000000017
1313,1.9872000000000014
1314,1.9872000000000014
1315,1.9872000000000014
1316,1.9872000000000014
1317,1.9872000000000014
1318,1.9872000000000014
1319,1.9504000000000015
1320,1.9504000000000015
1321,1.8768000000000011
1322,1.9136000000000013
1323,1.9136000000000013
1324,1.9136000000000013
1325,1.8400000000000012
1326,1.9136000000000013
1327,1.8400000000000012
1328,1.8400000000000012
1329,1.8400000000000012
1330,1.8400000000000012
1331,1.766400000000001
1332,1.8032000000000012
1333,1.766400000000001
1334,1.766400000000001
1335,1.766400000000001
1336,1.766400000000001
1337,1.8032000000000012
1338,1.766400000000001
1339,1.8032000000000012
1340,1.8032000000000012
1341,1.8400000000000012
1342,1.8400000000000012
1343,1.766400000000001
1344,1.766400000000001
1345,1.766400000000001
1346,1.766400000000001
1347,1.8032000000000012
1348,1.8400000000000012
1349,1.8400000000000012
1350,1.8400000000000012
1351,1.8400000000000012
1352,1.766400000000001
1353,1.766400000000001
1354,1.766400000000001
1355,1.766400000000001
1356,1.766400000000001
1357,1.766400000000001
1358,1.8032000000000012
1359,1.766400000000001
1360,1.766400000000001
1361,1.766400000000001
1362,1.766400000000001
1363,1.766400000000001
1364,1.766400000000001
1365,1.766400000000001
1366,1.766400000000001
1367,1.766400000000001
1368,1.766400000000001
1369,1.766400000000001
1370,1.766400000000001
1371,1.766400000000001
1372,1.766400000000001
1373,1.692800000000001
1374,1.692800000000001
1375,1.692800000000001
1376,1.692800000000001
1377,1.692800000000001
1378,1.692800000000001
1379,1.692800000000001
1380,1.692800000000001
1381,1.692800000000001
1382,1.692800000000001
1383,1.692800000000001
1384,1.692800000000001
1385,1.692800000000001
1386,1.692800000000001
1387,1.692800000000001
1388,1.6560000000000008
1389,1.6560000000000008
1390,1.6192000000000006
1391,1.6192000000000006
1392,1.6192000000000006
1393,1.6192000000000006
1394,1.6192000000000006
1395,1.6192000000000006
1396,1.6192000000000006
1397,1.6192000000000006
1398,1.6192000000000006
1399,1.5456000000000005
1400,1.5456000000000005
1401,1.5456000000000005
1402,1.5456000000000005
1403,1.5456000000000005
1404,1.5456000000000005
1405,1.5456000000000005
1406,1.5456000000000005
1407,1.5456000000000005
1408,1.5456000000000005
1409,1.5456000000000005
1410,1.5456000000000005
1411,1.5456000000000005
1412,1.5456000000000005
1413,1.4720000000000004
1414,1.4720000000000004
1415,1.4720000000000004
1416,1.4720000000000004
1417,1.4720000000000004
1418,1.4720000000000004
1419,1.4720000000000004
1420,1.4720000000000004
1421,1.4720000000000004
1422,1.4720000000000004
1423,1.4352000000000005
1424,1.3984000000000003
1425,1.3984000000000003
1426,1.3984000000000003
1427,1.3984000000000003
1428,1.3248000000000002
1429,1.3248000000000002
1430,1.3248000000000002
1431,1.3248000000000002
1432,1.3248000000000002
1433,1.3248000000000002
