,Weekend - Level 2 - Diversified (Median) of 100 EVs
1185,1.0819200000000002
1186,1.0819200000000002
1187,1.0819200000000002
1188,1.0819200000000002
1189,1.1076800000000002
1190,1.0819200000000002
1191,1.0819200000000002
1192,1.1076800000000002
1193,1.1076800000000002
1194,1.0819200000000002
1195,1.0819200000000002
1196,1.0819200000000002
1197,1.0819200000000002
1198,1.0819200000000002
1199,1.0819200000000002
1200,1.0819200000000002
1201,1.0819200000000002
1202,1.1334400000000004
1203,1.1334400000000004
1204,1.1334400000000004
1205,1.1334400000000004
1206,1.1334400000000004
1207,1.0819200000000002
1208,1.1334400000000004
1209,1.1334400000000004
1210,1.1334400000000004
1211,1.1076800000000002
1212,1.0819200000000002
1213,1.0819200000000002
1214,1.0819200000000002
1215,1.0819200000000002
1216,1.0819200000000002
1217,1.0819200000000002
1218,1.0819200000000002
1219,1.0561600000000002
1220,1.0304000000000002
1221,1.0304000000000002
1222,1.0304000000000002
1223,1.0304000000000002
1224,1.0304000000000002
1225,1.0304000000000002
1226,1.0304000000000002
1227,1.0304000000000002
1228,1.0304000000000002
1229,1.0304000000000002
1230,1.0819200000000002
1231,1.0561600000000002
1232,1.0304000000000002
1233,1.0561600000000002
1234,1.0561600000000002
1235,1.0561600000000002
1236,1.0561600000000002
1237,1.0304000000000002
1238,1.0304000000000002
1239,1.0304000000000002
1240,1.0304000000000002
1241,1.0304000000000002
1242,1.0304000000000002
1243,1.0304000000000002
1244,1.0304000000000002
1245,1.0304000000000002
1246,1.0304000000000002
1247,1.0304000000000002
1248,1.0304000000000002
1249,1.0304000000000002
1250,1.0304000000000002
1251,1.0304000000000002
1252,1.0304000000000002
1253,1.0304000000000002
1254,1.0304000000000002
1255,0.9788800000000002
1256,0.9788800000000002
1257,0.9788800000000002
1258,0.9788800000000002
1259,0.9788800000000002
1260,0.9788800000000002
1261,0.9531200000000002
1262,0.9273600000000001
1263,0.9531200000000002
1264,0.9273600000000001
1265,0.9273600000000001
1266,0.9273600000000001
1267,0.9273600000000001
1268,0.9788800000000002
1269,0.9788800000000002
1270,0.9273600000000001
1271,0.9273600000000001
1272,0.9273600000000001
1273,0.9788800000000002
1274,0.9788800000000002
1275,0.9788800000000002
1276,0.9788800000000002
1277,0.9788800000000002
1278,0.9788800000000002
1279,0.9788800000000002
1280,0.9788800000000002
1281,0.9788800000000002
1282,0.9788800000000002
1283,1.0304000000000002
1284,0.9788800000000002
1285,0.9788800000000002
1286,0.9788800000000002
1287,0.9788800000000002
1288,0.9788800000000002
1289,0.9788800000000002
1290,0.9788800000000002
1291,0.9788800000000002
1292,0.9788800000000002
1293,0.9788800000000002
1294,0.9788800000000002
1295,0.9788800000000002
1296,0.9788800000000002
1297,0.9788800000000002
1298,0.9788800000000002
1299,0.9788800000000002
1300,0.9788800000000002
1301,0.9788800000000002
1302,0.9788800000000002
1303,0.9788800000000002
1304,0.9788800000000002
1305,0.9788800000000002
1306,0.9788800000000002
1307,0.9788800000000002
1308,0.9788800000000002
1309,0.9788800000000002
1310,0.9788800000000002
1311,0.9788800000000002
1312,0.9788800000000002
1313,0.9788800000000002
1314,0.9788800000000002
1315,0.9788800000000002
1316,0.9788800000000002
1317,0.9273600000000001
1318,0.9273600000000001
1319,0.9788800000000002
1320,0.9273600000000001
1321,0.9273600000000001
1322,0.9273600000000001
1323,0.9273600000000001
1324,0.9273600000000001
1325,0.9273600000000001
1326,0.9016
1327,0.9273600000000001
1328,0.9273600000000001
1329,0.9016
1330,0.87584
1331,0.87584
1332,0.87584
1333,0.87584
1334,0.87584
1335,0.87584
1336,0.87584
1337,0.87584
1338,0.87584
1339,0.87584
1340,0.9273600000000001
1341,0.9273600000000001
